,bright_state_server,bright_state_user,Iteration,Fidelity,Fidelity_std,Rate,Rate_std,Utility,Utility_std,server_distance
0,0.06696194064406998,0.03735577824987026,10,[0.8990175 0.8990175 0.8990175],[2.10033169e-16 1.93975744e-16 2.02163945e-16],[130.15  65.42  64.73],[4.07450352 2.41565072 3.46062057],6.348930855409293,0.06317623899148837,1.5
1,0.06606720691015854,0.028526197398163727,7,[0.90791946 0.90791946 0.90791946],[1.83668678e-16 9.53009977e-17 9.86459044e-17],[99.65 50.06 49.59],[3.93947632 2.30157841 2.8767489 ],6.034526497122197,0.07399473795278977,12.444444444444445
2,0.06454581796383957,0.02087554297184828,17,[0.91637521 0.91637521 0.91637521],[2.42970823e-16 1.97291809e-16 9.86459044e-17],[75.02 37.58 37.44],[2.99466192 2.30870207 2.2305062 ],5.660378673552682,0.08579152139582544,23.38888888888889
3,0.0756993516018496,0.019665835479590124,13,[0.90661973 0.90661973 0.90661973],[6.73879817e-17 1.27351315e-16 1.68950611e-16],[68.89 34.25 34.64],[3.54250878 2.89309523 2.56994778],5.261785900874373,0.11133775700757767,34.333333333333336
4,0.06643135403273875,0.015231210271316842,0,[0.91968654 0.91968654 0.91968654],[8.05440437e-17 1.22151090e-16 1.19466123e-16],[46.64 23.6  23.04],[2.39174017 1.75679133 1.62428932],4.780856548471497,0.10455650528522442,45.27777777777778
5,0.08247291425965146,0.013677473835139614,21,[0.90535364 0.90535364 0.90535364],[6.23891480e-17 1.41812423e-16 1.67019684e-16],[45.67 23.26 22.41],[1.8044098  1.84573477 1.77642456],4.408599345692167,0.1130192003499862,56.22222222222222
6,0.07408333423799578,0.010994454426016159,6,[0.91600822 0.91600822 0.91600822],[2.54702630e-17 5.69532395e-17 4.41157896e-17],[31.58 15.51 16.07],[2.08846456 1.6071878  1.59377077],3.915111749519478,0.14382994109179043,67.16666666666667
7,0.07430871376030247,0.007946299086703364,7,[0.91853229 0.91853229 0.91853229],[2.24947272e-16 2.83624845e-16 1.70859718e-16],[25.79 13.11 12.68],[2.09105866 1.60456585 1.33676751],3.5632413403293457,0.162271372626752,78.11111111111111
8,0.07322153615909448,0.009654339178395527,34,[0.91806667 0.91806667 0.91806667],[1.01881052e-16 1.57009246e-16 1.78291841e-16],[20.22  9.34 10.88],[2.12642522 1.92829349 1.37710604],3.0450015634540883,0.24645627372440204,89.05555555555556
9,0.07930752990975605,0.005400777997664712,6,[0.91586279 0.91586279 0.91586279],[1.95640802e-16 2.13099509e-16 2.26384649e-16],[16.69  7.97  8.72],[1.90121845 1.21616308 1.1133638 ],2.624627269892536,0.2079061651612973,100
