,Initiator,Responder,Start_time,End_time,Memory_size,Fidelity,Wait_time,Throughput
0,NU,Argonne_2,1600000000000.0,14297867137638.0,14,0.8033055271057059,1600000000000.0,31.58010677331691
1,NU,StarLight,15397867137639.0,34525422910416.0,22,0.921327155153436,1100000000000.0,1109.6556325407848
2,NU,Argonne_3,39233602910417.0,50990159116442.0,11,0.9631707108243064,4708180000000.0,6.039183478203755
3,NU,Argonne_2,53393219116443.0,64636051881438.0,10,0.8845374442395317,2403060000000.0,22.147443193789314
4,NU,StarLight,79836051881439.0,98600894189546.0,11,0.8767355108523767,15200000000000.0,575.5444049393403
5,StarLight,Fermilab_1,3405370000000.0,21682395938204.0,13,0.9897298894274488,3405370000000.0,38.46358824334418
6,StarLight,Fermilab_1,23282395938205.0,33557987070635.0,18,0.9507026217349613,1600000000000.0,63.451337406981196
7,StarLight,Argonne_2,49184197070636.0,67710525455442.0,13,0.860638965858329,15626210000000.0,41.50849450723761
8,UChicago_PME,Argonne_2,19575760000000.0,38196939849076.0,13,0.8183831884270194,19575760000000.0,33.18801520681654
9,UChicago_PME,Fermilab_1,40596939849077.0,57522121167376.0,17,0.9658712251613163,2400000000000.0,17.42965079381778
10,UChicago_PME,Argonne_1,58822121167377.0,74050406206614.0,10,0.8201407204036955,1300000000000.0,59.100548596317424
11,UChicago_PME,StarLight,75550406206615.0,92569900970474.0,10,0.8912861241763113,1500000000000.0,153.41230960301326
12,UChicago_HC,Argonne_2,27251270000000.0,45962661497935.0,12,0.9164324072128736,27251270000000.0,18.705182884908705
13,UChicago_HC,UChicago_PME,48862661497936.0,60665536906366.0,12,0.9225818983804879,2900000000000.0,1868.1041048905663
14,UChicago_HC,NU,62365536906367.0,79887771090059.0,14,0.984215935456586,1700000000000.0,0.6848441742188583
15,Fermilab_1,Argonne_1,1900000000000.0,17013275528143.0,24,0.8161672047791205,1900000000000.0,118.83591989410904
16,Fermilab_1,Argonne_3,30230085528144.0,45450955550258.0,13,0.9603802413971615,13216810000000.0,35.34620552033846
17,Fermilab_1,Fermilab_2,47050955550259.0,66442026084499.0,18,0.8535666780583178,1600000000000.0,2696.808301927492
18,Fermilab_1,Fermilab_2,68342026084500.0,83259278930624.0,23,0.9351601729867052,1900000000000.0,3605.0203448802613
19,Fermilab_2,Argonne_1,2503135000000.0,13042442023816.0,14,0.8571602760176283,2503135000000.0,46.39773743140716
20,Fermilab_2,UChicago_HC,20650272023817.0,36206233193024.0,10,0.8097515421454337,7607830000000.0,11.506842814337324
21,Argonne_1,UChicago_HC,8708140000000.0,19188974870025.0,13,0.8748993531175765,8708140000000.0,49.232719186879926
22,Argonne_1,StarLight,20688974870026.0,35013922986576.0,22,0.9254935867406148,1500000000000.0,159.9307712223506
23,Argonne_1,Argonne_2,67724922986577.0,85806718015878.0,14,0.9518933153644671,32711000000000.0,489.6637742907915
24,Argonne_2,Argonne_3,4801000000000.0,22771694287520.0,11,0.8450414379981184,4801000000000.0,154.08419706538388
25,Argonne_2,UChicago_HC,38371694287521.0,51047687333158.0,12,0.850973917530825,15600000000000.0,21.615663483998926
26,Argonne_3,Fermilab_2,17309405000000.0,28270489335281.0,11,0.9577097871640058,17309405000000.0,6.294997637953226
27,Argonne_3,UChicago_PME,47871989335282.0,59380632277619.0,13,0.9734049738670826,19601500000000.0,8.689121775785454
28,Argonne_3,Argonne_1,60480632277620.0,73887475481971.0,17,0.8955566490707185,1100000000000.0,2424.1351602778936
29,Argonne_3,StarLight,75587475481972.0,92983226948535.0,24,0.8621885181368198,1700000000000.0,128.5946171569431
