,0,1,2
0,14.0,30.0,40.0
1,21.0,38.0,47.0
2,17.0,40.0,45.0
3,19.0,33.0,46.0
4,20.0,38.0,46.0
5,24.0,36.0,47.0
6,22.0,34.0,42.0
7,21.0,36.0,45.0
8,22.0,38.0,46.0
9,20.0,37.0,45.0
